sentences,lable
"


== Etymology ==


=== Common name “Muscovy” ===

""Muscovy"" is an old name for the region of Russia surrounding Moscow, but these ducks are neither native there nor were introduced there before they became known in Western Europe",0
" It is not quite clear how the term came about; it very likely originated between 1550 and 1600, but did not become widespread until somewhat later",0
"
In one suggestion, it has been claimed that the Company of Merchant Adventurers to New Lands traded these ducks to Europe occasionally after 1550; this chartered company became eventually known as the ""Muscovy Company"" or ""Muscovite Company"" so the ducks might thus have come to be called ""Muscovite ducks"" or ""Muscovy ducks"" in keeping with the common practice of attaching the importer's name to the products they sold",0
" But while the Muscovite Company initiated vigorous trade with Russia, they hardly, if at all, traded produce from the Americas; thus, they are unlikely to have traded C",0
 moschata to a significant extent,0
"
Alternatively—just as in the ""turkey"" (which is also from North America, not Turkey) and the ""guineafowl"" (which are not limited to Guinea)—""Muscovy"" might be simply a generic term for an exotic place, in reference to the singular appearance of these birds",0
" This is evidenced by other names suggesting the species came from lands where it is not actually native, but from where much ""outlandish"" produce was imported at that time (see below)",0
"
Yet another view—not incompatible with either of those discussed above—connects the species with the Muisca, a Native American nation in today's Colombia",0
" The duck is native to these lands also, and it is likely that it was kept by the Muisca as a domestic animal to some extent",0
" It is conceivable that a term like ""Muisca duck"", hard to comprehend for the average European of those times, would be corrupted into something more familiar",0
" Likewise, the Miskito Indians of the Miskito Coast in Nicaragua and Honduras heavily relied on it as a domestic species, and the ducks as well may have been named after this region",0
"


=== Species name “moschata” ===

Linnaeus’ description of Anas moschata only consists of a curt but entirely unequivocal [Anas] facie nuda papillosa (""A duck with a naked and carunculated face""), and his primary reference is his earlier work Fauna Svecica",0
" But Linnaeus refers also to older sources, wherein much information on the origin of the common name is found",0
"
Conrad Gessner is given by Linnaeus as a source, but the Historia animalium mentions the Muscovy duck only in passing",0
" Ulisse Aldrovandi discusses the species in detail, referring to the wild birds and its domestic breeds variously as anas cairina, anas indica or anas libyca – ""duck from Cairo"", ""Indian duck"" (in reference to the West Indies) or ""Libyan duck""",0
" But his anas indica (based, like Gessner's brief discussion, ultimately on the reports of Christopher Columbus's travels) also seems to have included another species, perhaps a whistling-duck (Dendrocygna)",0
" Already however the species is tied to some more or less nondescript ""exotic"" locality – ""Libya"" could still refer to any place in Northern Africa at that time – where it did not natively occur",0
" Francis Willughby discusses ""The Muscovy duck"" as anas moschata and expresses his belief that Aldrovandi's and Gessner's anas cairina, anas indica and anas libyca (which he calls ""The Guiny duck"", adding another mistaken place of origin to the list) refer to the very same species",0
" Finally, John Ray attempts to clear up the confusion by providing an alternative explanation for the name's etymology:

In English, it is called The Muscovy-Duck, though this is not transferred from Muscovia [the New Latin name of Muscovy], but from the rather strong musk odour it exudes",0
"
Linnaeus came to witness the birds' ""gamey"" aroma first-hand, as he attests in the Fauna Svecica and again in the travelogue of this 1746 Västergötland excursion",0
" Similarly, the Russian name of this species, muskusnaya utka (Мускусная утка), means ""musk duck"" – without any reference to Moscow – as do the Bokmål and Danish moskusand, Dutch muskuseend, Finnish myskisorsa, French canard musqué, German Moschusente, Italian anatra muschiata, Spanish pato almizclado and Swedish myskand",0
" In English, however, musk duck refers to the Australian species Biziura lobata",0
"


=== Genus name ""Cairina"" ===
The currently assigned genus name Cairina, meanwhile, traces its origin to Aldrovandi and the mistaken belief that the birds came from Egypt: translated, the current scientific name of the Muscovy duck means ""the musky one from Cairo""",0
"


=== Other names ===
In some regions the name ""Barbary duck"" is used for domestic and ""Muscovy duck"" for wild birds; in other places, ""Barbary duck"" refers specifically to the dressed carcass, while ""Muscovy duck"" applies to living C",0
" moschata, regardless of whether they are wild or domestic",0
" In general, ""Barbary duck"" is the usual term for C",0
 moschata in a culinary context,0
"


== Taxonomy and systematics ==

The species was first scientifically described by Carl Linnaeus in his 1758 edition of Systema Naturae as Anas moschata, literally meaning ""musk duck""",0
" It was later transferred to the genus Cairina, making its current binomial name Cairina moschata",0
"
The Muscovy duck was formerly placed into the paraphyletic ""perching duck"" assemblage, but subsequently moved to the dabbling duck subfamily (Anatinae)",0
" Analysis of the mtDNA sequences of the cytochrome b and NADH dehydrogenase subunit 2 genes, however, indicates that it might be closer to the genus Aix and better placed in the shelduck subfamily Tadorninae",0
" In addition, the other species of Cairina, the rare white-winged duck (C",0
" scutulata), seems to belong to a distinct genus (Asarcornis)",0
"


== Ecology ==
This non-migratory species normally inhabits forested swamps, lakes, streams and nearby grassland and farm crops, and often roosts in trees at night",0
" The Muscovy duck's diet consists of plant material (such as the roots, stems, leaves, and seeds of aquatic plants and grasses, as well as terrestrial plants, including agricultural crops) obtained by grazing or dabbling in shallow water, and small fish, amphibians, reptiles, crustaceans, insects, millipedes, and worms",0
" This is an aggressive duck; males often fight over food, territory or mates",0
 The females fight with each other less often,0
 Some adults will peck at the ducklings if they are eating at the same food source,0
"
The Muscovy duck has benefited from nest boxes in Mexico, but is somewhat uncommon in much of the eastern part of its range due to excessive hunting",0
" It is not considered a globally threatened species by the IUCN, however, as it is widely distributed",0
"


=== Reproduction ===

This species, like the mallard, does not form stable pairs",0
 They will mate on land or in water (note the submerged female in the image below),0
 Domestic Muscovy ducks can breed up to three times each year,0
"
The hen lays a clutch of 8–16 white eggs, usually in a tree hole or hollow, which are incubated for 35 days",0
" The sitting hen will leave the nest once a day from 20 minutes to one and a half hours, and will then defecate, drink water, eat and sometimes bathe",0
" Once the eggs begin to hatch, it may take 24 hours for all the chicks to break through their shells",0
" When feral chicks are born, they usually stay with their mother for about 10–12 weeks",0
" Their bodies cannot produce all the heat they need, especially in temperate regions, so they will stay close to the mother, especially at night",0
"
Often, the drake will stay in close contact with the brood for several weeks",0
" The male will walk with the young during their normal travels in search for food, providing protection",0
" Anecdotal evidence from East Anglia, U",0
K,0
" suggests that, in response to different environmental conditions, other adults assist in protecting chicks and providing warmth at night",0
" It has been suggested that this is in response to local efforts to cull the eggs, which has led to an atypical distribution of males and females, as well as young and mature birds",0
"
For the first few weeks of their lives, Muscovy chicks feed on grains, corn, grass, insects, and almost anything that moves",0
 Their mother instructs them at an early age how to feed,0
"


=== Feral bird ===

Feral Muscovy ducks can breed near urban and suburban lakes and on farms, nesting in tree cavities or on the ground, under shrubs in yards, on apartment balconies, or under roof overhangs",0
" Some feral populations, such as that in southern Florida, have a reputation of becoming pests on occasion",0
" At night they often sleep at water, if there is a water source available, to flee quickly from predators if awakened",0
" Small populations of Muscovy ducks can also be found in Ely, Cambridgeshire, Calstock, Cornwall, and Lincoln, Lincolnshire, U",0
K,0
 Muscovy ducks have also been spotted in the Walsall Arboretum,0
" There has been a small population in the Pavilion Gardens public park in Buxton, Derbyshire for many years",0
In the U,0
S,0
", Muscovy ducks are considered an non-native species",0
 An owner may raise them for food production only (not for hunting),0
" Similarly, if the ducks have no owner, 50CFR Part 21 (Migratory Bird Permits) allows the removal or destruction of the ducks, their eggs and their nests anywhere in the United States outside of Hidalgo, Starr and Zapata Counties in Texas, where they are considered indigenous",0
" The population in southern Florida is considered, with numbers in the several thousands, to be established enough to be considered ""countable"" for bird watchers",0
"Legal methods to restrict breeding include not feeding these ducks, deterring them with noise or chasing them away",0
"
Although legislation passed in the U",0
S,0
" prohibiting trade of Muscovy ducks, Fish and Wildlife Services intend to revise the regulations",0
" They are not currently implementing them, though release of Muscovy ducks to the wild outside their natural range is prohibited",0
"


== Domestication ==

Muscovy ducks had been domesticated by various Native American cultures in the Americas when Columbus arrived in the Bahamas",0
" A few were brought onto Columbus' ship the Santa Maria, they then sailed back to Europe by the 16th century",0
"
The Muscovy duck has been domesticated for centuries, and is widely traded as ""Barbary duck""",0
" Muscovy breeds are popular because they have stronger-tasting meat—sometimes compared to roast beef—than the usual domestic ducks, which are descendants of the mallard (Anas platyrhynchos)",0
" The meat is lean when compared to the fatty meat of mallard-derived ducks, its leanness and tenderness being often compared to veal",0
" Muscovy ducks are also less noisy, and sometimes marketed as a ""quackless"" duck; even though they are not completely silent, they do not actually quack (except in cases of extreme stress)",0
" The carcass of a Muscovy duck is also much heavier than most other domestic ducks, which makes it ideal for the dinner table",0
"

Domesticated Muscovy ducks, like those pictured, often have plumage features differing from other wild birds",0
" White breeds are preferred for meat production, as darker ones can have much melanin in the skin, which some people find unappealing",0
"
The Muscovy duck can be crossed with mallards in captivity to produce hybrids known as mulards (""mule ducks"") because they are sterile",0
 Muscovy drakes are commercially crossed with mallard-derived hens either naturally or by artificial insemination,0
" The 40–60% of eggs that are fertile result in birds raised only for their meat or for production of foie gras: they grow fast like mallard-derived breeds, but to a large size like Muscovy ducks",0
" Conversely, though crossing mallard-derived drakes with Muscovy hens is possible, the offspring are neither desirable for meat nor for egg production",0
"In addition, Muscovy ducks are reportedly crossbred in Israel with mallards to produce kosher duck products",0
 The kashrut status of the Muscovy duck has been a matter of rabbinic discussion for over 150 years,0
Oscillococcinum is a homeopathic preparation made from Muscovy duck livers and hearts manufactured by the French company Boiron; similar products are also available from other manufacturers,0
" Typically diluted with lactose and sucrose to 1:10400 (far less than one in one googol), they are advertised to relieve influenza-like symptoms, but no evidence has been found of their efficacy",0
"A study examining birds in northwestern Colombia for blood parasites found the Muscovy duck to be more frequently infected with Haemoproteus and malaria (Plasmodium) parasites than chickens, domestic pigeons, domestic turkeys and, in fact, almost all wild bird species also studied",0
" It was noted that in other parts of the world, chickens were more susceptible to such infections than in the study area, but it may well be that Muscovy ducks are generally more often infected with such parasites (which might not cause pronounced disease, though, and are harmless to humans)",0
"


== Gallery ==

		
		
		
		
		
		
		
		
		
		


== See also ==
List of duck breeds
Domestic duck


== References ==


== Bibliography ==


== Further reading ==


== External links ==

BirdLife species factsheet for Cairina moschata
""Cairina moschata""",0
 Avibase,0
" 
""Muscovy duck media""",0
 Internet Bird Collection,0
"
Muscovy duck photo gallery at VIREO (Drexel University)
Interactive range map of Cairina moschata at IUCN Red List maps
Audio recordings of Muscovy duck on Xeno-canto",0
The cat (Felis catus) is a domestic species of small carnivorous mammal,0
 It is the only domesticated species in the family Felidae and is commonly referred to as the domestic cat or house cat to distinguish it from the wild members of the family,0
 Cats are commonly kept as house pets but can also be farm cats or feral cats; the feral cat ranges freely and avoids human contact,0
 Domestic cats are valued by humans for companionship and their ability to kill rodents,0
 About 60 cat breeds are recognized by various cat registries,0
"The cat is similar in anatomy to the other felid species: it has a strong flexible body, quick reflexes, sharp teeth, and retractable claws adapted to killing small prey like mice and rats",0
 Its night vision and sense of smell are well developed,0
" Cat communication includes vocalizations like meowing, purring, trilling, hissing, growling, and grunting as well as cat-specific body language",0
" Although the cat is a social species, it is a solitary hunter",0
" As a predator, it is crepuscular, i",0
e,0
 most active at dawn and dusk,0
" It can hear sounds too faint or too high in frequency for human ears, such as those made by mice and other small mammals",0
 It also secretes and perceives pheromones,0
"Female domestic cats can have kittens from spring to late autumn, with litter sizes often ranging from two to five kittens",0
" Domestic cats are bred and shown at events as registered pedigreed cats, a hobby known as cat fancy",0
" Population control of cats may be achieved by spaying and neutering, but their proliferation and the abandonment of pets has resulted in large numbers of feral cats worldwide, contributing to the extinction of entire bird, mammal, and reptile species",0
"It was long thought that cat domestication began in ancient Egypt, where cats were venerated from around 3100 BC, but recent advances in archaeology and genetics have shown that their domestication occurred in Western Asia around 7500 BC",0
"As of 2021, there were an estimated 220 million owned and 480 million stray cats in the world",0
" As of 2017, the domestic cat was the second most popular pet in the United States, with 95",0
6 million cats owned and around 42 million households owning at least one cat,0
" In the United Kingdom, 26% of adults have a cat, with an estimated population of 10",0
9 million pet cats as of 2020,0
"


== Etymology and naming ==
The origin of the English word cat, Old English catt, is thought to be the Late Latin word cattus, which was first used at the beginning of the 6th century",0
" It was suggested that cattus is derived from an Egyptian precursor of Coptic ϣⲁⲩ šau, 'tomcat', or its feminine form suffixed with -t",0
 The Late Latin word may be derived from another Afro-Asiatic or Nilo-Saharan language,0
 The Nubian word kaddîska 'wildcat' and Nobiin kadīs are possible sources or cognates,0
 The Nubian word may be a loan from Arabic قَطّ‎ qaṭṭ ~ قِطّ qiṭṭ,0
"
However, it is ""equally likely that the forms might derive from an ancient Germanic word, imported into Latin and thence to Greek and to Syriac and Arabic""",0
" The word may be derived from Germanic and Northern European languages, and ultimately be borrowed from Uralic, cf",0
" Northern Sami gáđfi, 'female stoat', and Hungarian hölgy, 'lady, female stoat'; from Proto-Uralic *käďwä, 'female (of a furred animal)'",0
"The English puss, extended as pussy and pussycat, is attested from the 16th century and may have been introduced from Dutch poes or from Low German puuskatte, related to Swedish kattepus, or Norwegian pus, pusekatt",0
 Similar forms exist in Lithuanian puižė and Irish puisín or puiscín,0
" The etymology of this word is unknown, but it may have arisen from a sound used to attract a cat",0
"A male cat is called a tom or tomcat (or a gib, if neutered)",0
" A female is called a queen (or a molly, if spayed), especially in a cat-breeding context",0
 A juvenile cat is referred to as a kitten,0
" In Early Modern English, the word kitten was interchangeable with the now-obsolete word catling",0
 A group of cats can be referred to as a clowder or a glaring,0
"


== Taxonomy ==
The scientific name Felis catus was proposed by Carl Linnaeus in 1758 for a domestic cat",0
 Felis catus domesticus was proposed by Johann Christian Polycarp Erxleben in 1777,0
" Felis daemon proposed by Konstantin Satunin in 1904 was a black cat from the Transcaucasus, later identified as a domestic cat",0
"In 2003, the International Commission on Zoological Nomenclature ruled that the domestic cat is a distinct species, namely Felis catus",0
"
In 2007, it was considered a subspecies, F",0
" silvestris catus, of the European wildcat (F",0
 silvestris) following results of phylogenetic research,0
" In 2017, the IUCN Cat Classification Taskforce followed the recommendation of the ICZN in regarding the domestic cat as a distinct species, Felis catus",0
"


== Evolution ==

The domestic cat is a member of the Felidae, a family that had a common ancestor about 10–15 million years ago",0
"
The genus Felis diverged from other Felidae around 6–7 million years ago",0
" Results of phylogenetic research confirm that the wild Felis species evolved through sympatric or parapatric speciation, whereas the domestic cat evolved through artificial selection",0
" The domesticated cat and its closest wild ancestor are diploid and both possess 38 chromosomes and roughly 20,000 genes",0
 The leopard cat (Prionailurus bengalensis) was tamed independently in China around 5500 BC,0
 This line of partially domesticated cats leaves no trace in the domestic cat populations of today,0
"


=== Domestication ===

The earliest known indication for the taming of an African wildcat (F",0
" lybica) was excavated close by a human Neolithic grave in Shillourokambos, southern Cyprus, dating to about 7500–7200 BC",0
" Since there is no evidence of native mammalian fauna on Cyprus, the inhabitants of this Neolithic village most likely brought the cat and other wild mammals to the island from the Middle Eastern mainland",0
" Scientists therefore assume that African wildcats were attracted to early human settlements in the Fertile Crescent by rodents, in particular the house mouse (Mus musculus), and were tamed by Neolithic farmers",0
 This mutual relationship between early farmers and tamed cats lasted thousands of years,0
" As agricultural practices spread, so did tame and domesticated cats",0
 Wildcats of Egypt contributed to the maternal gene pool of the domestic cat at a later time,0
The earliest known evidence for the occurrence of the domestic cat in Greece dates to around 1200 BC,0
" Greek, Phoenician, Carthaginian and Etruscan traders introduced domestic cats to southern Europe",0
 During the Roman Empire they were introduced to Corsica and Sardinia before the beginning of the 1st millennium,0
" By the 5th century BC, they were familiar animals around settlements in Magna Graecia and Etruria",0
" By the end of the Western Roman Empire in the 5th century, the Egyptian domestic cat lineage had arrived in a Baltic Sea port in northern Germany",0
"During domestication, cats have undergone only minor changes in anatomy and behavior, and they are still capable of surviving in the wild",0
 Several natural behaviors and characteristics of wildcats may have pre-adapted them for domestication as pets,0
" These traits include their small size, social nature, obvious body language, love of play, and high intelligence",0
 Captive Leopardus cats may also display affectionate behavior toward humans but were not domesticated,0
 House cats often mate with feral cats,0
" Hybridisation between domestic and other Felinae species is also possible, producing hybrids such as the Kellas cat in Scotland",0
Development of cat breeds started in the mid 19th century,0
" An analysis of the domestic cat genome revealed that the ancestral wildcat genome was significantly altered in the process of domestication, as specific mutations were selected to develop cat breeds",0
 Most breeds are founded on random-bred domestic cats,0
" Genetic diversity of these breeds varies between regions, and is lowest in purebred populations, which show more than 20 deleterious genetic disorders",0
"


== Characteristics ==


=== Size ===

The domestic cat has a smaller skull and shorter bones than the European wildcat",0
"
It averages about 46 cm (18 in) in head-to-body length and 23–25 cm (9–10 in) in height, with about 30 cm (12 in) long tails",0
 Males are larger than females,0
"
Adult domestic cats typically weigh between 4 and 5 kg (9 and 11 lb)",0
"


=== Skeleton ===
Cats have seven cervical vertebrae (as do most mammals); 13 thoracic vertebrae (humans have 12); seven lumbar vertebrae (humans have five); three sacral vertebrae (as do most mammals, but humans have five); and a variable number of caudal vertebrae in the tail (humans have only three to five vestigial caudal vertebrae, fused into an internal coccyx)",0
: 11  The extra lumbar and thoracic vertebrae account for the cat's spinal mobility and flexibility,0
" Attached to the spine are 13 ribs, the shoulder, and the pelvis",0
": 16  Unlike human arms, cat forelimbs are attached to the shoulder by free-floating clavicle bones which allow them to pass their body through any space into which they can fit their head",0
"


=== Skull ===

The cat skull is unusual among mammals in having very large eye sockets and a powerful specialized jaw",0
": 35  Within the jaw, cats have teeth adapted for killing prey and tearing meat",0
" When it overpowers its prey, a cat delivers a lethal neck bite with its two long canine teeth, inserting them between two of the prey's vertebrae and severing its spinal cord, causing irreversible paralysis and death",0
" Compared to other felines, domestic cats have narrowly spaced canine teeth relative to the size of their jaw, which is an adaptation to their preferred prey of small rodents, which have small vertebrae",0
"The premolar and first molar together compose the carnassial pair on each side of the mouth, which efficiently shears meat into small pieces, like a pair of scissors",0
" These are vital in feeding, since cats' small molars cannot chew food effectively, and cats are largely incapable of mastication",0
": 37  Cats tend to have better teeth than most humans, with decay generally less likely because of a thicker protective layer of enamel, a less damaging saliva, less retention of food particles between teeth, and a diet mostly devoid of sugar",0
 Nonetheless they are subject to occasional tooth loss and infection,0
"


=== Claws ===

Cats have protractible and retractable claws",0
" In their normal, relaxed position, the claws are sheathed with the skin and fur around the paw's toe pads",0
 This keeps the claws sharp by preventing wear from contact with the ground and allows for the silent stalking of prey,0
 The claws on the forefeet are typically sharper than those on the hindfeet,0
 Cats can voluntarily extend their claws on one or more paws,0
" They may extend their claws in hunting or self-defense, climbing, kneading, or for extra traction on soft surfaces",0
 Cats shed the outside layer of their claw sheaths when scratching rough surfaces,0
Most cats have five claws on their front paws and four on their rear paws,0
 The dewclaw is proximal to the other claws,0
" More proximally is a protrusion which appears to be a sixth ""finger""",0
 This special feature of the front paws on the inside of the wrists has no function in normal walking but is thought to be an antiskidding device used while jumping,0
" Some cat breeds are prone to having extra digits (""polydactyly"")",0
 Polydactylous cats occur along North America's northeast coast and in Great Britain,0
"


=== Ambulation ===
The cat is digitigrade",0
" It walks on the toes, with the bones of the feet making up the lower part of the visible leg",0
" Unlike most mammals, it uses a ""pacing"" gait and moves both legs on one side of the body before the legs on the other side",0
" It registers directly by placing each hind paw close to the track of the corresponding fore paw, minimizing noise and visible tracks",0
 This also provides sure footing for hind paws when navigating rough terrain,0
" As it speeds up from walking to trotting, its gait changes to a ""diagonal"" gait: The diagonally opposite hind and fore legs move simultaneously",0
"


=== Balance ===

Most breeds of cat are notably fond of sitting in high places, or perching",0
 A higher place may serve as a concealed site from which to hunt; domestic cats strike prey by pouncing from a perch such as a tree branch,0
" Another possible explanation is that height gives the cat a better observation point, allowing it to survey its territory",0
 A cat falling from heights of up to 3 meters (9,0
8 ft) can right itself and land on its paws,0
"During a fall from a high place, a cat reflexively twists its body and rights itself to land on its feet using its acute sense of balance and flexibility",0
 This reflex is known as the cat righting reflex,0
" A cat always rights itself in the same way during a fall, if it has enough time to do so, which is the case in falls of 90 cm (2 ft 11 in) or more",0
" How cats are able to right themselves when falling has been investigated as the ""falling cat problem""",0
"


=== Coats ===
The cat family (Felidae) can pass down many colors and patterns to their offsprings",0
 The domestic cat genes MC1R and ASIP allow for the variety of color in coats,0
 The feline ASIP gene consists of three coding exons,0
 Three novel microsatellite markers linked to ASIP were isolated from a domestic cat BAC clone containing this gene and were used to perform linkage analysis in a pedigree of 89 domestic cats that segregated for melanism,0
"


== Senses ==


=== Vision ===

Cats have excellent night vision and can see at only one-sixth the light level required for human vision",0
": 43  This is partly the result of cat eyes having a tapetum lucidum, which reflects any light that passes through the retina back into the eye, thereby increasing the eye's sensitivity to dim light",0
 Large pupils are an adaptation to dim light,0
" The domestic cat has slit pupils, which allow it to focus bright light without chromatic aberration",0
" At low light, a cat's pupils expand to cover most of the exposed surface of its eyes",0
" The domestic cat has rather poor color vision and only two types of cone cells, optimized for sensitivity to blue and yellowish green; its ability to distinguish between red and green is limited",0
 A response to middle wavelengths from a system other than the rod cells might be due to a third type of cone,0
 This appears to be an adaptation to low light levels rather than representing true trichromatic vision,0
" Cats also have a nictitating membrane, allowing them to blink without hindering their vision",0
"


=== Hearing ===
The domestic cat's hearing is most acute in the range of 500 Hz to 32 kHz",0
" It can detect an extremely broad range of frequencies ranging from 55 Hz to 79 kHz, whereas humans can only detect frequencies between 20 Hz and 20 kHz",0
 It can hear a range of 10,0
"5 octaves, while humans and dogs can hear ranges of about 9 octaves",0
"
Its hearing sensitivity is enhanced by its large movable outer ears, the pinnae, which amplify sounds and help detect the location of a noise",0
" It can detect ultrasound, which enables it to detect ultrasonic calls made by rodent prey",0
 Recent research has shown that cats have socio-spatial cognitive abilities to create mental maps of owners' locations based on hearing owners' voices,0
"


=== Smell ===
Cats have an acute sense of smell, due in part to their well-developed olfactory bulb and a large surface of olfactory mucosa, about 5",0
"8 square centimetres (29⁄32 square inch) in area, which is about twice that of humans",0
 Cats and many other animals have a Jacobson's organ in their mouths that is used in the behavioral process of flehmening,0
 It allows them to sense certain aromas in a way that humans cannot,0
" Cats are sensitive to pheromones such as 3-mercapto-3-methylbutan-1-ol, which they use to communicate through urine spraying and marking with scent glands",0
" Many cats also respond strongly to plants that contain nepetalactone, especially catnip, as they can detect that substance at less than one part per billion",0
 About 70–80% of cats are affected by nepetalactone,0
" This response is also produced by other plants, such as silver vine (Actinidia polygama) and the herb valerian; it may be caused by the smell of these plants mimicking a pheromone and stimulating cats' social or sexual behaviors",0
"


=== Taste ===
Cats have relatively few taste buds compared to humans (470 or so versus more than 9,000 on the human tongue)",0
" Domestic and wild cats share a taste receptor gene mutation that keeps their sweet taste buds from binding to sugary molecules, leaving them with no ability to taste sweetness",0
" Their taste buds instead respond to acids, amino acids like protein, and bitter tastes",0
" Cats also have a distinct temperature preference for their food, preferring food with a temperature around 38 °C (100 °F) which is similar to that of a fresh kill and routinely rejecting food presented cold or refrigerated (which would signal to the cat that the ""prey"" item is long dead and therefore possibly toxic or decomposing)",0
"


=== Whiskers ===

To aid with navigation and sensation, cats have dozens of movable whiskers (vibrissae) over their body, especially their faces",0
" These provide information on the width of gaps and on the location of objects in the dark, both by touching objects directly and by sensing air currents; they also trigger protective blink reflexes to protect the eyes from damage",0
": 47 


== Behavior ==

Outdoor cats are active both day and night, although they tend to be slightly more active at night",0
 Domestic cats spend the majority of their time in the vicinity of their homes but can range many hundreds of meters from this central point,0
" They establish territories that vary considerably in size, in one study ranging from 7 to 28 hectares (17–69 acres)",0
" The timing of cats' activity is quite flexible and varied but being low-light predators, they are generally crepuscular, which means they tend to be more active in the morning and evening",0
" However, house cats' behaviour is also influenced by human activity and they may adapt to their owners' sleeping patterns to some extent",0
"Cats conserve energy by sleeping more than most animals, especially as they grow older",0
" The daily duration of sleep varies, usually between 12 and 16 hours, with 13 and 14 being the average",0
 Some cats can sleep as much as 20 hours,0
" The term ""cat nap"" for a short rest refers to the cat's tendency to fall asleep (lightly) for a brief period",0
" While asleep, cats experience short periods of rapid eye movement sleep often accompanied by muscle twitches, which suggests they are dreaming",0
"


=== Sociability ===
The social behavior of the domestic cat ranges from widely dispersed individuals to feral cat colonies that gather around a food source, based on groups of co-operating females",0
" Within such groups, one cat is usually dominant over the others",0
" Each cat in a colony holds a distinct territory, with sexually active males having the largest territories, which are about 10 times larger than those of female cats and may overlap with several females' territories",0
" These territories are marked by urine spraying, by rubbing objects at head height with secretions from facial glands, and by defecation",0
 Between these territories are neutral areas where cats watch and greet one another without territorial conflicts,0
" Outside these neutral areas, territory holders usually chase away stranger cats, at first by staring, hissing, and growling and, if that does not work, by short but noisy and violent attacks",0
" Despite this colonial organization, cats do not have a social survival strategy or a pack mentality, and always hunt alone",0
"Life in proximity to humans and other domestic animals has led to a symbiotic social adaptation in cats, and cats may express great affection toward humans or other animals",0
" Ethologically, a cat's human keeper functions as if a mother surrogate",0
" Adult cats live their lives in a kind of extended kittenhood, a form of behavioral neoteny",0
